name,address
"Kinka Izakaya","4775, Yonge Street, North York, M2N 5M5"
"Spicy & Delicious","4664, Yonge Street, North York, M2N 5M1"
"Pho OK","4664, Yonge Street, North York, Ontario, M2N 5M1"
"4AM Bar & Lounge","4664, Yonge Street, North York, M2N 5M1"
"Morals Village","5095, Yonge Street, Toronto, M2N 6Z4"
"Golden Rice Noodle","4750, Yonge Street, Toronto"
"Blaze Pizza",""
"Flock Rotisserie + Greens",""
"Petit Potato",""
"Freshii",""
"Cafe Landwer","5000, Yonge Street, North York, ON, M2N 7E9"
"The Fry - Sheppard","4864, Yonge Street, Toronto, Ontario, M2N 5N2"
"Mapo Gamjatang","4916, Yonge Street, North York, ON"
"N/A",""
"Konjiki Ramen",""
"Pizzamaru","4850, Yonge Street, North York, Ontario, M2M 3W5"
"Kinton Ramen","5165, Yonge Street, Toronto, M2N 5P5"
"Shawarma Max","5171, Yonge Street, Toronto, M2N 5P5"
"Izakaya Tokyo Grill","5175, Yonge Street, Toronto, M2N 5P5"
"The Keg",""
"Union Social Eatery","4899, Yonge Street, M2N 5N4"
"Evivva Restaurant Breakfast & Lunch","5221, Yonge Street, Toronto, M2N 5P8"
"Oh Geul Boh Geul Korean Restaurant",""
"Select Sandwich",""
"Friendly House 24 hr",""
"Alborz Restaurant",""
"Ajuker Fried Chicken",""
"Ave Seoul Restaurant",""
"Kayagum","5460, Yonge Street, North York, M2N 6K7"
"Piazza Manna",""
"JungSooNae",""
"Pho Vietnamese Delight","5533, Yonge Street, North York, M2N 5S2"
"Oh! Bar","5467, Yonge Street, North York, M2N 5S1"
"Sansotei Ramen","13, Byng Avenue, Toronto, M2N 5R7"
"VIPS Sushi","9, Byng Avenue, Toronto, M2N 0E6"
"Authentic Japanese Food","5, Byng Avenue, Toronto"
"Pizza Shab","3, Byng Avenue, Toronto"
"Sang-Ji Fried Bao","1, Byng Avenue, Toronto, M2N 5R6"
"North Stars Bar and Grill","5433, Yonge Street, Toronto, M2N 5R6"
"Ajisen Ramen","5229, Yonge Street, Toronto, M2N 5P8"
"Pastel Creperie",""
"Cheng Du Taste","5371, Yonge Street, Toronto, M2N 5R6"
"Beijing Restaurant",""
"Miss Durian",""
"Go Topoki",""
"Roll.com",""
"SSAM Toronto Korean BBQ & Grill",""
"Nak Won Korean Restaurant",""
"Pyong Won House",""
"Cafe Princess",""
"Simple Way",""
"Vietnamese Delight",""
"Lim Ga Ne Korean Restaurant",""
"Hot-Star Fried Chicken",""
"Ling BBQ",""
"MeNami",""
"Tasty Hut","5364, Yonge Street, Toronto"
"Yu Szechuan Cuisine","5461, Yonge Street, Toronto"
"Mabu Station","5455, Yonge Street, Toronto"
"Magic Noodle",""
"Korean Chinese Restaurant",""
"Buk Chang Dong Soon Tofu Korean Restaurant","5445, Yonge Street, Toronto"
"Angus Pho House","5443, Yonge Street, Toronto, M2N 5S1"
"Miss Fu In ChengDu",""
"Wing Machine",""
"Jin's Mi-Fen","5515, Yonge Street, Toronto"
"Cheers Chicken & Beers","19, Finch Avenue West, North York, M2N 7K4"
"Huh Ga Ne","19, Finch Avenue West, North York, M2N 7K4"
"XiangLongZhuaZhua","15, Northtown Way, Toronto"
"Lucky Tea","15, Northtown Way, Toronto"
"Hot Impression",""
"DakGoGi",""
"San Tong",""
"i-migo",""
"Zhang's Kitchen 张小厨",""
"Crystal Palace","5418, Yonge Street, Toronto"
"Palgong Tea",""
"Hey Sugar | 嘿糖","5379, Yonge Street, Toronto"
"春 Chun Yang Taiwan Black Tea","5377, Yonge Street, Toronto"
"Chinese Burger 肉来谟",""
"ZenQ",""
"Meet You",""
"Superhot",""
"43° N BBQ Bar","5287, Yonge Street"
"Yang's Braised Chicken Rice",""
"Yunshang Rice Noodle","5285, Yonge Street, Toronto, ON, M2N 5R3"
"Yupdduk Finch","116, Finch Avenue West"
"The Fry",""
"Torch Sushi",""
"Daldongnae",""
"Katsuya",""
"Gol’s Lanzhou Noodle",""
"Supertech",""
"Gui Gui","5935, Yonge Street"
"Good Taste Casserole Rice","5205, Yonge Street, North York, Ontario, M2N 5P7"
"Daldongnae Korean BBQ","5211, Yonge Street, North York, Ontario"
"Pizzamaru","6050, Yonge Street, North York, ON, M2M 3W5"
"The OWL of Minerva","5324, Yonge Street, Toronto, Ontario, M2N 5P9"
"HeyNoodles","5306, Yonge Street, Toronto, M2N 5P9"
"Sugar Marmalade",""
"Mr Fish","5321, Yonge Street, Toronto, M2N 5R4"
"Upper East Food Club","5317, Yonge Street, Toronto, M2N 5R4"
"Meet Fresh","5315, Yonge Street, Toronto, M2N 5R4"
"The Captain's Boil","5313, Yonge Street, Toronto, M2N 5R4"
"St. Louis Bar & Grill","5307, Yonge Street, Toronto, M2N 5R4"
"Cheese Garden","5291, Yonge Street, Toronto, M2N 5R3"
"Wako Sushi","5213, Yonge Street, Toronto, M2N 5P8"
"Pho 88","5197, Yonge Street, Toronto, M2N 5P7"
"Qing Shu Spicy Hot Pot","5195, Yonge Street, Toronto, M2N 5P7"
"N/A","5505, Yonge Street, Toronto, M2N 5S3"
"Ichiban Sushi",""
"Yummi's",""
"Laterna Family Restaurant","6301, Yonge Street"
"Famous Laffa",""
"Zaffan","6200, Yonge Street"
"Bellafornia",""
"Sushi Bong",""
"Eat BKK",""
"Daldongnae Korean BBQ","6347, Yonge Street"
"Apkujung",""
"Roses New York","6313, Yonge Street, North York, ON, M2M 3X7"
"Yu Garden",""
"糊涂楼 Hot Taste Restaurant","324, Highway 7, Richmond Hill, Ontario"
"The Flying Fish","324, Highway 7, Richmond Hill, Ontario"
"荔銀腸粉店 Li Yin Chang Fen Roll","324, Highway 7, Richmond Hill, Ontario"
"The One Fusion Cuisine",""
"Silver Bay Cafe",""
"Senbazuru Sushi Bar",""
"Maxim Restaurant",""
"Yang's Fine Chinese Cuisine",""
"Bombay's Chutney","1070, Major Mackenzie Drive East, Richmond Hill, L4S 1P3"
